text,createTime,authorMeta.id,authorMeta.secUid,authorMeta.name,authorMeta.nickName,musicMeta.musicId,musicMeta.musicName,videoMeta.duration,description_length,n_hashtags,has_hashtags,author_verified,music_is_original,hour_posted,day_of_week,musicAuthor_Billie Eilish,musicAuthor_Evan Holmes,musicAuthor_F1 moments,musicAuthor_Kreepa,musicAuthor_Pop Smoke,musicAuthor_Riovacci,musicAuthor_Tik Toker,musicAuthor_Tim Thebodeau,musicAuthor_mo.rab,musicAuthor_other,musicAuthor_zopepijn,viral
Confidence went 📈,2020-12-17 14:15:17,6.825540583826769e+18,MS4wLjABAAAA1FfFjRMUzr0hX2YPT7pRr7bCPQWa-kU_kVo3HLghB9xPQsjgNl0iIxCKKV7BO-4f,ninakleij,Nina,6.790057285814061e+18,Element,15.0,17,0,0,0,0,14,3,False,False,False,False,True,False,False,False,False,False,False,0
Quiet Zone... follow me on insta: joeysofo. Comment where you wanna see me blade next. Reply to @dwight_schnuute,2020-09-23 00:09:23,6.729292817489987e+18,MS4wLjABAAAAvkCSTiPWJm7Ctqp7AN3mauS_Bi8tVrbtBgnZnQKnc7nero0FEW0piU5AbzUO5nal,joeysofo,JoeySofo ,6.678927595137977e+18,Without Me,11.0,112,0,0,0,1,0,2,False,False,False,False,False,False,False,False,False,True,False,1
Iphone bend test🤗 #tiktok #viral #fyp #iphone #test #bend,2020-11-24 14:37:05,6.791901371429914e+18,MS4wLjABAAAAsI8XQOceYtnIhIbLZLhvz24tOWdWYavlPeH5ozOlKAFTEujmc24InmAyAsNIwB71,jackeyephone,JackJacko,6.881287666340481e+18,Pilfingerdansen - Remix,19.0,57,6,1,0,0,14,1,False,False,False,False,False,False,False,False,False,True,False,1
小技です👟✨#tiktok教室#tutorial,2020-12-13 07:13:20,6.586854399372394e+18,MS4wLjABAAAAqwdQMoXzQWa8Zg8uIlLjIzNDK9dJ_0hiNKep9Mb6vXXL9mgy5kH4wdJD-pFEOuQs,io.dreamer_mk,io. Dreamer,6.649693417590754e+18,原聲,22.0,24,2,1,0,1,7,6,False,False,False,False,False,False,False,False,False,True,False,1
Great rally 😍🏐❤️ show some love in the comments for them👉❤️🏐 #volleyball #volleyballlove #volleyballworld,2020-11-15 23:33:24,6.828136153255593e+18,MS4wLjABAAAAMZKbwPZdBTJBPj6CPuzTJHsc04K8F1gQxQtTQIJUMas6GhgscSSl65olTd2qSW1M,the_volleyball_community,Volleyball community,6.873639087861942e+18,Diamonds,29.0,105,3,1,0,0,23,6,False,False,False,False,False,False,False,False,False,True,False,1
Oh no,2020-11-15 10:57:20,6.879814870579512e+18,MS4wLjABAAAAdg8TB3SVmMYheTyicrsuJ5lCsQioOoaskY6i_meRY72rQo224cSQVbFV4eOOoeYO,milanvannleeuwen,Milan,6.893870343761497e+18,origineel geluid,11.0,5,0,0,0,1,10,6,False,False,False,False,False,False,False,False,False,True,False,0
#TimeWarpScan,2020-10-17 14:07:52,6.807032812786157e+18,MS4wLjABAAAAt2vCkXgXDMvwtzdjDFsPiLBlmu4xb7BIet2mjvEO_MRtsOMD9eYmr3yCYCdfO5MQ,helen.c_,Helen,6.850266942448684e+18,original sound,9.0,13,1,1,0,1,14,5,False,False,False,False,False,False,False,False,False,True,False,0
"Kendinizi yıpratmayın, DEĞMEZ 🤞🏻 #keşfet #tiktok #turkey #kadın #erkek #aldatma #seniniçin #beniöneçıkart #ortamısalla #mizah #boys #girls #türkiye",2020-12-15 16:05:26,1.8123255436725453e+17,MS4wLjABAAAAeu3MgjFp4IDpXP9fAVEUNGA0p-IyMkOYgKanMUqMQ_oGHqrN48ie3Qj5yZalIwwI,sulekolik,@Şulekolik,2.4953920382550426e+17,Believer,15.0,147,12,1,0,0,16,1,False,False,False,False,False,False,False,False,False,True,False,0
#kids #parents #funny,2020-11-12 12:02:12,17077271.0,MS4wLjABAAAAim5P-mfZBoQ-DLpr6SiDx_CMEQ3XnUcBK4xEIAlekEE,pien.the.pug,Jans,6.85795261465135e+18,Snort laugh,15.0,21,3,1,0,1,12,3,False,False,False,False,False,False,False,False,False,True,False,0
Iknow maagdenvlies bestaat niet😄 #foryou #fyp #foryoupage #fy,2020-12-05 12:39:47,6.736893238030042e+18,MS4wLjABAAAASkWyxiXDTPz74qsByhjO15JisSuIkEzjfelnYLug3N8sZ_gaJMOKcPraoLLoRt7U,_ylvax,💘 Ylva Bloemsma 💘,6.892161420423596e+18,WITHOUT YOU,9.0,61,4,1,0,0,12,5,False,False,False,False,False,False,False,False,False,True,False,0
